,pock_volume,pock_volume_st,pock_asa,pock_asa_st,pock_pol_asa,pock_pol_asa_st,pock_apol_asa,pock_apol_asa_st,pock_asa22,pock_asa22_st,pock_pol_asa22,pock_pol_asa22_st,pock_apol_asa22,pock_apol_asa22_st,nb_as,nb_as_st,mean_as_ray,mean_as_ray_st,mean_as_solv_acc,mean_as_solv_acc_st,apol_as_prop,apol_as_prop_st,mean_loc_hyd_dens,mean_loc_hyb_dens_st,hydrophobicity_score,hydrophobicity_score_st,volume_score,volume_score_st,polarity_score,polarity_score_st,charge_score,charge_score_st,prop_polar_atm,prop_polar_atm_st,as_density,as_density_st,as_max_dst,as_max_dst_st,convex_hull_volume,convex_hull_volume_st,nb_abpa,nb_abpa_st,ala,ala_st,arg,arg_st,asn,asn_st,asp,asp_st,cys,cys_st,gln,gln_st,glu,glu_st,gly,gly_st,his,his_st,ile,ile_st,leu,leu_st,lys,lys_st,met,met_st,phe,phe_st,pro,pro_st,ser,ser_st,thr,thr_st,trp,trp_st,tyr,tyr_st,val,val_st,rog_pro_noh,rog_pro_noh_sd,rog_pro_bb,rog_pro_bb_sd,rog_pro_ca,rog_pro_ca_sd,rog_bs_noh,rog_bs_noh_sd,rog_bs_bb,rog_bs_bb_sd,rog_bs_ca,rog_bs_ca_sd,rmsd_pro_noh,rmsd_pro_noh_sd,rmsd_pro_bb,rmsd_pro_bb_st,rmsd_pro_ca,rmsd_pro_ca_sd,rmsd_bs_noh,rmsd_bs_noh_sd,rmsd_bs_bb,rmsd_bs_bb_sd,rmsd_bs_ca,rmsd_bs_ca_sd,b_para,b_anti,h_3.10,halpha,h_pi,turn,bend,random.coil,ip,molecular.weight,aromaticity,instability,gravy,X.g,X.a,X.v,X.l,X.i,X.p,X.f,X.m,X.w,PP1.1,PP2.1,PP3.1,KF1.1,KF2.1,KF3.1,KF4.1,KF5.1,KF6.1,KF7.1,KF8.1,KF9.1,KF10.1,Z1.1,Z2.1,Z3.1,Z4.1,Z5.1,F1.1,F2.1,F3.1,F4.1,F5.1,F6.1,T1.1,T2.1,T3.1,T4.1,T5.1,VHSE1.1,VHSE2.1,VHSE3.1,VHSE4.1,VHSE5.1,VHSE6.1,VHSE7.1,VHSE8.1,ProtFP1.1,ProtFP2.1,ProtFP3.1,ProtFP4.1,ProtFP5.1,ProtFP6.1,ProtFP7.1,ProtFP8.1,ST1.1,ST2.1,ST3.1,ST4.1,ST5.1,ST6.1,ST7.1,ST8.1,BLOSUM1.1,BLOSUM2.1,BLOSUM3.1,BLOSUM4.1,BLOSUM5.1,BLOSUM6.1,BLOSUM7.1,BLOSUM8.1,BLOSUM9.1,BLOSUM10.1,MSWHIM1.1,MSWHIM2.1,MSWHIM3.1,DELTA30
0,459.698,130.508,302.045,77.975,180.836,48.255,121.209,41.7,148.374,52.668,92.784,34.461,55.589,30.246,159.286,55.968,3.89,0.171,0.463,0.049,0.138,0.096,15.541,16.279,13.743,4.747,3.423,0.324,9.199,1.889,2.014,0.864,49.759,4.738,4.461,1.124,10.911,2.632,97.731,68.753,8.735,2.853,0.013,0.113,0.386,0.487,0.0,0.0,0.644,0.581,2.264,0.859,1.348,0.518,0.0,0.0,2.034,0.457,0.963,0.191,0,0,0.0,0.0,1.309,0.614,0.0,0.0,0.993,0.089,0.0,0.0,2.94,0.278,0.947,0.226,0,0,0.662,0.759,0.447,0.54,17.005,0.068,16.38,0.073,16.387,0.072,7.225,0.161,7.763,0.159,7.394,0.155,1.673,0.147,1.193,0.114,1.161,0.12,1.226,0.155,0.766,0.144,0.73,0.153,0.0084,0.336,0.0257,0.0591,0,0.1793,0.1283,0.2632,5.293,19679.0648,0.0914285714285714,60.2937142857142,-0.381714285714285,0.0742857142857142,0.0628571428571428,0.0571428571428571,0.0685714285714285,0.0685714285714285,0.0628571428571428,0.0285714285714285,0.0342857142857142,0.0171428571428571,-26.53,-74.61,-0.9900000000000008,2.499999999999998,-51.83,6.000000000000003,7.329999999999999,-19.77,-31.5,3.17,3.530000000000003,-12.17,-24.71,24.22999999999999,-101.72,-20.84,-90.02,45.89,-49.553,-17.224,-34.309,58.614,6.581999999999999,-18.46299999999999,-1065.1,-34.67,11.72,37.15,159.07,-8.439999999999996,-32.81,-49.09,-9.610000000000005,-22.90000000000001,-47.72,26.31999999999999,-11.6,-116.37,-167.57,-41.79,19.02,-21.68,26.41,33.48,-4.850000000000002,-200.861,-51.719,-44.82,-7.245000000000001,-16.227,-84.254,28.054,51.149,31.12000000000001,-37.84,-13.46,-0.6799999999999994,-7.42,24.41,9.679999999999998,-4.989999999999999,20.29,15.46,-62.14,98.08,-96.58,5.0
1,418.535,131.867,254.19,76.348,140.337,47.094,113.854,35.955,139.001,49.465,79.112,34.445,59.889,23.282,120.254,47.556,3.909,0.171,0.493,0.046,0.147,0.108,12.481,12.446,17.312,4.459,3.349,0.333,8.276,2.089,1.754,0.897,46.801,4.767,3.948,1.204,9.735,2.909,68.007,59.06,7.125,2.504,0.006,0.077,0.22,0.414,0.001,0.032,0.334,0.51,2.49,0.654,1.223,0.476,0.0,0.0,1.74,0.493,0.883,0.323,0,0,0.0,0.0,0.985,0.613,0.0,0.0,0.993,0.089,0.001,0.032,3.056,0.447,0.92,0.427,0,0,0.654,0.838,0.389,0.49,16.895,0.057,16.252,0.061,16.262,0.062,7.157,0.114,7.723,0.101,7.374,0.107,1.727,0.188,1.251,0.178,1.224,0.177,1.304,0.147,0.645,0.081,0.635,0.094,0.008,0.3342,0.0231,0.0529,0,0.1848,0.1276,0.2694,5.101,19634.0457,0.0857142857142857,58.4308571428571,-0.343428571428571,0.0742857142857142,0.0628571428571428,0.0571428571428571,0.0742857142857142,0.0685714285714285,0.0628571428571428,0.0228571428571428,0.04,0.0171428571428571,-27.98,-75.49,-1.330000000000001,1.709999999999999,-54.21,3.830000000000002,4.81,-20.3,-30.88,-1.689999999999999,1.860000000000003,-15.04,-24.51,22.30999999999999,-103.85,-15.89,-90.69,48.2,-48.253,-16.409,-35.888,59.78,7.117999999999999,-21.301,-1074.4,-34.87,10.35,40.14,160.21,-7.079999999999996,-35.28,-51.0,-9.750000000000005,-24.86,-49.38,25.54,-13.39,-112.41,-176.15,-46.05,18.1,-21.67000000000001,26.32,29.9,-8.780000000000001,-202.421,-50.63500000000001,-45.513,-6.534000000000001,-15.737,-85.262,28.531,51.40499999999999,30.53000000000001,-39.7,-13.72,-0.4899999999999994,-7.060000000000001,25.05,10.28,-2.54,19.62,17.56,-64.27,98.39,-97.54,-0.4
2,400.662,177.172,248.044,102.666,134.11,61.556,113.934,48.821,140.898,61.915,86.759,44.472,54.139,26.99,116.903,62.887,3.685,0.912,0.464,0.128,0.242,0.155,21.968,17.73,15.735,7.584,3.505,1.002,7.945,3.227,1.652,1.067,44.574,12.395,4.031,1.653,9.993,4.16,73.736,64.781,6.947,3.702,0.035,0.184,0.28,0.454,0.0,0.0,0.709,0.706,1.797,1.165,1.106,0.573,0.0,0.0,1.501,0.759,0.899,0.303,0,0,0.0,0.0,1.182,0.817,0.0,0.0,0.88,0.326,0.041,0.198,2.188,1.048,0.557,0.497,0,0,1.024,1.015,0.593,0.525,16.837,0.052,16.21,0.063,16.223,0.06,7.181,0.141,7.754,0.136,7.46,0.138,1.689,0.169,1.128,0.126,1.092,0.122,1.414,0.399,1.138,0.425,1.137,0.462,0.0084,0.336,0.024,0.0526,0,0.1909,0.1265,0.2616,5.101,19628.0842,0.0857142857142857,59.2394285714285,-0.324571428571428,0.0742857142857142,0.0628571428571428,0.0571428571428571,0.0742857142857142,0.0685714285714285,0.0685714285714285,0.0285714285714285,0.04,0.0171428571428571,-30.36,-75.01,-2.350000000000001,1.369999999999999,-53.96,1.360000000000003,2.769999999999999,-18.99,-31.03,1.480000000000001,0.7800000000000029,-11.57,-25.53,16.57999999999999,-103.01,-14.57,-88.1,50.38,-47.247,-16.449,-35.78999999999999,59.523,11.777,-22.645,-1073.66,-38.23,8.440000000000003,40.35,158.25,-5.279999999999996,-35.58,-50.64,-10.18000000000001,-24.83000000000001,-50.96,25.61999999999999,-9.620000000000001,-108.04,-178.62,-43.49,18.14,-26.31000000000001,23.54,26.57,-8.980000000000002,-202.454,-51.276,-44.683,-6.307000000000001,-17.892,-83.69500000000001,29.128,50.34699999999999,30.09,-40.66,-13.49,-1.809999999999999,-8.93,23.26,10.86,-1.74,18.3,16.35,-64.11,98.7,-97.32,-0.6
3,469.467,141.53,287.77,83.27,154.889,46.392,132.882,45.818,165.684,56.258,88.115,31.589,77.569,33.581,132.927,45.706,3.922,0.198,0.486,0.04,0.213,0.114,19.197,13.397,10.178,5.083,3.517,0.39,10.255,2.23,1.515,0.81,47.485,5.701,4.701,1.352,11.85,3.075,100.242,71.974,7.957,2.472,0.013,0.113,0.045,0.212,0.037,0.189,0.985,0.642,1.482,0.831,1.86,0.424,0.0,0.0,2.038,0.659,0.841,0.367,0,0,0.0,0.0,1.614,0.679,0.0,0.0,0.987,0.117,0.002,0.045,2.948,0.283,0.866,0.342,0,0,1.059,0.763,0.313,0.464,17.023,0.065,16.388,0.068,16.4,0.067,7.346,0.121,7.765,0.106,7.385,0.102,1.916,0.151,1.442,0.137,1.405,0.132,1.316,0.15,0.873,0.122,0.831,0.145,0.0084,0.3339,0.0271,0.0563,0,0.1741,0.1385,0.2617,5.101,19587.0323,0.0857142857142857,58.8085714285714,-0.310857142857142,0.0742857142857142,0.0628571428571428,0.0628571428571428,0.0742857142857142,0.0628571428571428,0.0685714285714285,0.0285714285714285,0.04,0.0171428571428571,-30.83,-75.64,-1.760000000000001,1.029999999999999,-55.52,1.890000000000003,2.749999999999999,-18.34,-32.67,-0.5599999999999994,-2.049999999999997,-14.76,-21.6,17.21999999999999,-106.61,-14.29,-88.35,49.16,-49.589,-16.348,-37.221,60.794,12.318,-21.497,-1078.1,-40.2,8.390000000000002,40.1,159.59,-5.469999999999996,-37.22,-51.81,-11.39,-24.68,-51.33000000000001,24.17,-8.610000000000001,-109.27,-183.15,-44.1,19.68,-26.15000000000001,23.53,25.48,-5.850000000000002,-203.257,-51.413,-44.925,-5.742000000000001,-18.419,-86.658,29.553,51.246,29.75,-41.43,-12.89,-2.819999999999999,-8.85,22.85,11.04,-2.15,20.59,16.76,-65.14,99.07,-97.99,-0.8
4,537.222,145.912,348.785,81.202,203.73,52.352,145.056,40.47,176.371,53.953,114.579,41.668,61.792,25.944,137.96,47.738,3.969,0.117,0.478,0.044,0.216,0.104,23.321,15.898,18.309,5.413,3.74,0.334,10.373,2.322,1.172,0.955,49.767,4.963,4.918,1.072,12.466,2.38,124.096,73.133,8.398,2.535,0.017,0.129,0.421,0.494,0.0,0.0,1.278,0.524,2.446,1.013,1.576,0.514,0.004,0.063,1.801,0.557,0.953,0.214,0,0,0.0,0.0,1.08,0.802,0.001,0.032,0.999,0.045,0.077,0.267,2.947,0.277,0.125,0.331,0,0,1.989,1.171,1.235,0.714,16.862,0.061,16.24,0.057,16.256,0.054,7.515,0.181,8.052,0.167,7.775,0.148,1.827,0.144,1.338,0.113,1.301,0.114,1.71,0.266,1.466,0.259,1.466,0.252,0.0081,0.3318,0.013,0.0548,0,0.1735,0.1468,0.272,5.101,19626.0452,0.0857142857142857,55.2148571428571,-0.337142857142857,0.0742857142857142,0.0628571428571428,0.0571428571428571,0.08,0.0685714285714285,0.0685714285714285,0.0228571428571428,0.0342857142857142,0.0171428571428571,-29.28,-75.07,-2.130000000000001,3.319999999999999,-53.64,2.700000000000002,3.269999999999999,-21.76,-34.47,1.2,-0.1599999999999972,-11.61,-23.9,16.82999999999999,-103.59,-17.16,-91.26,51.35,-47.851,-17.818,-34.947,61.887,11.459,-22.217,-1072.37,-38.45999999999999,10.99,39.76,159.15,-5.839999999999995,-33.99,-50.5,-10.09000000000001,-24.56000000000001,-52.46,26.93,-9.88,-111.01,-177.43,-42.62,18.47,-27.71,24.81,32.33,-10.74,-202.26,-51.608,-45.283,-7.067000000000001,-17.493,-84.658,27.909,50.88,30.12000000000001,-40.2,-13.67,-1.319999999999999,-8.71,22.46,11.17,-2.15,18.7,17.01,-63.94,98.23,-96.98,1.4
5,456.832,118.735,287.587,70.598,161.309,42.646,126.278,36.854,158.539,46.788,84.333,28.399,74.206,28.518,152.397,46.781,3.895,0.093,0.466,0.036,0.204,0.121,25.634,17.245,9.251,4.006,3.693,0.297,10.328,1.754,1.78,0.636,48.088,4.935,4.616,1.085,11.4,2.588,88.04,54.343,8.374,2.317,0.001,0.032,0.043,0.203,0.001,0.032,0.942,0.464,1.224,0.511,1.905,0.325,0.0,0.0,1.421,0.538,0.909,0.289,0,0,0.0,0.0,1.77,0.55,0.0,0.0,0.996,0.071,0.005,0.071,2.966,0.223,0.714,0.455,0,0,1.078,0.649,0.19,0.392,16.976,0.058,16.32,0.055,16.333,0.055,7.244,0.108,7.747,0.106,7.363,0.11,1.772,0.163,1.238,0.13,1.209,0.133,1.127,0.096,0.704,0.089,0.586,0.099,0.0084,0.3297,0.0158,0.0543,0,0.1849,0.1402,0.2667,5.101,19644.0836,0.0857142857142857,58.3234285714285,-0.348,0.0742857142857142,0.0628571428571428,0.0571428571428571,0.0742857142857142,0.0685714285714285,0.0685714285714285,0.0228571428571428,0.04,0.0171428571428571,-30.4,-73.39,-3.160000000000001,1.949999999999999,-50.85,1.750000000000003,1.419999999999999,-19.82,-30.44,3.300000000000001,3.410000000000003,-9.529999999999998,-27.2,10.34999999999999,-98.58999999999999,-15.46,-86.66,48.52,-43.567,-16.469,-32.178,58.17,10.94,-22.89899999999999,-1062.52,-37.38999999999999,7.400000000000002,39.15,155.63,-3.489999999999996,-32.34,-47.93,-8.930000000000005,-23.90000000000001,-51.19000000000001,25.38,-10.35,-98.79,-171.31,-40.57,15.47,-27.76000000000001,23.91,28.63,-9.870000000000003,-200.455,-50.51300000000001,-42.69,-7.122000000000001,-18.426,-81.25,27.744,49.776,27.78000000000001,-38.37,-14.62,-1.059999999999999,-9.25,22.36,10.95,-1.009999999999999,17.92,15.83,-62.25,98.78999999999999,-96.15,-1.2
6,566.221,133.052,355.628,75.752,188.345,46.165,167.282,41.973,188.668,52.003,105.928,36.372,82.74,26.198,191.075,57.394,3.942,0.098,0.469,0.036,0.247,0.106,35.725,21.296,14.894,4.606,3.745,0.289,11.91,2.197,1.624,0.869,48.401,3.734,4.986,0.821,12.198,2.027,139.069,70.682,9.589,2.392,0.001,0.032,0.464,0.503,0.001,0.032,1.275,0.661,2.438,0.758,1.939,0.526,0.0,0.0,1.905,0.671,0.986,0.122,0,0,0.0,0.0,1.449,0.655,0.0,0.0,0.998,0.055,0.036,0.186,2.932,0.268,0.95,0.22,0,0,1.914,0.983,0.699,0.493,16.855,0.052,16.224,0.055,16.236,0.054,7.298,0.104,7.874,0.095,7.584,0.099,1.692,0.139,1.133,0.117,1.104,0.115,1.034,0.128,0.878,0.122,0.86,0.13,0.0085,0.3298,0.0276,0.0575,0,0.1773,0.1308,0.2685,5.101,19696.115,0.0914285714285714,58.0571428571428,-0.335428571428571,0.0742857142857142,0.0571428571428571,0.0628571428571428,0.0685714285714285,0.0685714285714285,0.0628571428571428,0.0285714285714285,0.04,0.0171428571428571,-27.98,-74.53,-2.320000000000001,2.809999999999999,-51.89,7.770000000000002,4.56,-17.99,-29.03,-0.7199999999999994,3.860000000000003,-14.04,-24.33,17.89999999999999,-102.04,-17.75,-90.21,44.35,-49.282,-17.123,-33.748,57.248,6.384,-18.892,-1064.82,-35.37,10.29,37.96,157.34,-5.979999999999996,-34.2,-48.7,-10.75000000000001,-24.37000000000001,-48.5,23.38,-12.24,-103.7,-171.12,-43.64,15.94,-19.94000000000001,23.9,32.89,-7.570000000000002,-200.913,-50.951,-44.163,-6.643000000000001,-16.16,-82.905,27.787,49.28299999999999,28.46,-38.42,-14.55,0.03000000000000054,-8.66,24.81,9.189999999999998,-3.679999999999999,18.91,16.76,-62.82,99.35,-97.57,0.3
7,432.152,173.068,258.659,103.046,150.629,63.863,108.03,51.375,163.933,67.444,99.921,48.335,64.013,33.586,88.75,59.559,4.018,0.376,0.526,0.083,0.19,0.153,16.316,20.039,16.114,5.603,3.494,0.522,8.431,2.804,1.914,0.939,51.935,8.194,3.965,1.384,9.521,3.34,67.229,61.445,7.08,3.063,0.0,0.0,0.357,0.485,0.0,0.0,0.442,0.541,1.863,1.007,1.222,0.703,0.0,0.0,1.61,0.546,0.9,0.301,0,0,0.0,0.0,1.099,0.844,0.0,0.0,0.93,0.257,0.0,0.0,2.827,0.485,0.608,0.489,0,0,0.976,0.934,0.438,0.496,17.013,0.074,16.402,0.084,16.41,0.082,7.39,0.206,8.022,0.191,7.694,0.201,1.797,0.163,1.343,0.143,1.311,0.143,1.383,0.221,1.065,0.198,1.081,0.232,0.0081,0.3327,0.0285,0.0523,0,0.1791,0.124,0.2753,5.101,19628.0842,0.0857142857142857,59.2394285714285,-0.324571428571428,0.0742857142857142,0.0628571428571428,0.0571428571428571,0.0742857142857142,0.0685714285714285,0.0685714285714285,0.0285714285714285,0.04,0.0171428571428571,-30.36,-75.01,-2.350000000000001,1.369999999999999,-53.96,1.360000000000003,2.769999999999999,-18.99,-31.03,1.480000000000001,0.7800000000000029,-11.57,-25.53,16.57999999999999,-103.01,-14.57,-88.1,50.38,-47.247,-16.449,-35.78999999999999,59.523,11.777,-22.645,-1073.66,-38.23,8.440000000000003,40.35,158.25,-5.279999999999996,-35.58,-50.64,-10.18000000000001,-24.83000000000001,-50.96,25.61999999999999,-9.620000000000001,-108.04,-178.62,-43.49,18.14,-26.31000000000001,23.54,26.57,-8.980000000000002,-202.454,-51.276,-44.683,-6.307000000000001,-17.892,-83.69500000000001,29.128,50.34699999999999,30.09,-40.66,-13.49,-1.809999999999999,-8.93,23.26,10.86,-1.74,18.3,16.35,-64.11,98.7,-97.32,-0.6
8,470.978,118.598,322.84,65.4,195.212,44.64,127.628,32.005,155.691,56.471,93.406,38.375,62.285,29.298,170.943,41.911,3.867,0.177,0.43,0.046,0.163,0.109,22.896,19.416,10.07,3.929,3.654,0.257,10.671,1.517,1.855,0.634,51.21,4.509,4.393,0.827,11.301,2.367,99.373,54.287,9.638,2.333,0.0,0.0,0.125,0.337,0.0,0.0,0.936,0.406,1.257,0.564,1.914,0.3,0.0,0.0,1.948,0.356,0.985,0.125,0,0,0.0,0.0,1.681,0.494,0.0,0.0,0.997,0.063,0.003,0.055,2.941,0.265,0.778,0.416,0,0,1.311,0.706,0.245,0.43,16.945,0.055,16.308,0.052,16.322,0.052,7.146,0.101,7.677,0.093,7.307,0.097,1.641,0.107,1.172,0.091,1.141,0.091,1.173,0.138,0.812,0.091,0.762,0.103,0.0085,0.3318,0.0238,0.0563,0,0.176,0.1368,0.2668,5.101,19644.0836,0.0857142857142857,58.3234285714285,-0.348,0.0742857142857142,0.0628571428571428,0.0571428571428571,0.0742857142857142,0.0685714285714285,0.0685714285714285,0.0228571428571428,0.04,0.0171428571428571,-29.2,-75.07,-1.970000000000001,2.959999999999999,-53.46,2.520000000000003,3.639999999999999,-19.21,-30.9,0.5000000000000006,0.7100000000000029,-13.33,-24.56,18.25999999999999,-102.51,-15.2,-88.6,49.53,-48.165,-17.59999999999999,-35.373,59.07,10.93,-22.34099999999999,-1072.07,-37.76,9.140000000000002,39.95,158.34,-6.189999999999996,-34.59,-50.43,-9.290000000000004,-24.55,-50.99,25.99,-9.940000000000001,-111.66,-175.91,-41.93,17.99,-25.88000000000001,23.8,29.43,-9.730000000000002,-202.127,-50.731,-44.663,-6.551000000000001,-17.099,-84.619,28.386,50.231,30.57,-39.93,-13.76,-1.68,-8.5,22.49,11.12,-2.089999999999999,18.58,17.39,-63.9,98.51,-97.14,0.0
9,458.39,109.987,292.651,67.454,161.947,45.157,130.704,32.045,150.534,45.445,86.563,31.296,63.971,25.923,136.176,47.05,3.962,0.116,0.474,0.047,0.188,0.095,21.044,15.815,17.137,5.158,3.471,0.259,8.905,1.566,1.22,0.972,47.961,3.922,3.76,0.788,10.001,2.426,69.622,44.349,7.341,2.328,0.001,0.032,0.155,0.37,0.0,0.0,0.764,0.693,2.43,0.545,1.074,0.374,0.0,0.0,1.739,0.566,0.881,0.325,0,0,0.0,0.0,0.948,0.438,0.0,0.0,0.999,0.045,0.0,0.0,2.935,0.256,0.993,0.089,0,0,1.155,0.743,0.341,0.478,16.877,0.05,16.24,0.05,16.249,0.049,7.283,0.114,7.824,0.109,7.485,0.111,1.591,0.101,1.025,0.07,0.982,0.071,1.394,0.114,0.633,0.074,0.602,0.083,0.0085,0.328,0.0221,0.0527,0,0.182,0.1292,0.2775,5.101,19614.0576,0.0857142857142857,58.8085714285714,-0.326285714285714,0.0742857142857142,0.0628571428571428,0.0628571428571428,0.0742857142857142,0.0628571428571428,0.0685714285714285,0.0285714285714285,0.04,0.0171428571428571,-30.42,-75.39,-2.310000000000001,1.359999999999999,-54.51,1.610000000000003,3.139999999999999,-17.95,-31.87,1.24,0.3300000000000029,-12.69,-23.1,17.87999999999999,-103.92,-14.4,-88.11,50.1,-50.103,-16.44,-36.56999999999999,59.815,11.744,-22.034,-1075.28,-38.88999999999999,8.870000000000003,40.05,158.94,-5.789999999999996,-36.36,-51.11,-10.29,-24.91,-50.75,25.54,-9.520000000000001,-109.58,-179.79,-43.29,18.43,-25.91,23.9,26.39,-8.440000000000001,-202.802,-51.159,-44.659,-5.907000000000001,-18.051,-84.96100000000001,29.247,50.8,30.42,-40.76,-13.36,-2.129999999999999,-8.93,23.14,11.0,-1.92,18.77,16.75,-64.2,98.66,-97.65,-0.1
